id|name|asciiName|alternateNames|latitude|longitude|countryCode
668642|Comuna Roşia de Secaş|Comuna Rosia de Secas||46.04807|23.85329|RO
668176|Comuna Sălciua|Comuna Salciua|Sundorf,Szolcsva|46.38261|23.41526|RO
668148|Comuna Sãliştea|Comuna Saliste|Cioara,Tschorren|45.91425|23.41294|RO
667072|Comuna Sâncel|Comuna Sancel|Schinern,Szancsal|46.21176|23.94791|RO
666906|Comuna Sântimbru|Comuna Santimbru|Marosszentimre,Sankt Emmerich|46.12974|23.66899|RO
667918|Comuna Săsciori|Comuna Sasciori|Sassenberg,Schweis|45.85629|23.56898|RO
667719|Comuna Scărişoara|Comuna Scarisoara|Aranyosfo,Aranyosfő|46.46072|22.88166|RO
667264|Comuna Şibot|Comuna Sibot||45.94093|23.32226|RO
666549|Comuna Sohodol|Comuna Sohodol|Aranyosszohodol|46.32748|22.99414|RO
666442|Comuna Şona|Comuna Sona||46.25089|24.00259|RO
666333|Comuna Şpring|Comuna Spring|Gespreng,Spring|45.96833|23.73449|RO
665980|Comuna Stremţ|Comuna Stremt|Diod,Diodvaralja,Diód,Diódváralja,Nussschloss,Nußschloss,Subalpestris|46.25606|23.5934|RO
665819|Comuna Şugag|Comuna Sugag|Schugag|45.7478|23.59957|RO
664195|Comuna Unirea|Comuna Unirea||46.41948|23.7626|RO
668325|Comuna Vadu Moţilor|Comuna Vadu Motilor||46.4091|22.95532|RO
663670|Comuna Valea Lungă|Comuna Valea Lunga||46.13355|24.0828|RO
662965|Comuna Vidra|Comuna Vidra||46.37067|22.92726|RO
662794|Comuna Vinţu de Jos|Comuna Vintu de Jos||46.02229|23.45647|RO
8299637|Municipiul Aiud|Municipiul Aiud||46.3044|23.69751|RO
8299636|Municipiul Alba Iulia|Municipiul Alba Iulia||46.06346|23.57494|RO
8299638|Municipiul Blaj|Municipiul Blaj||46.15084|23.91041|RO
8299639|Municipiul Sebeş|Municipiul Sebes||45.94237|23.57681|RO
685833|Oraş Baia de Arieş|Oras Baia de Aries||46.37933|23.29903|RO
681870|Oraş Câmpeni|Oras Campeni||46.38493|23.04553|RO
679993|Oraş Cugir|Oras Cugir||45.81371|23.4074|RO
8299640|Oraş Ocna Mureş|Oras Ocna Mures||46.38475|23.8407|RO
665316|Oraş Teiuş|Oras Teius||46.20959|23.70812|RO
662160|Oraş Zlatna|Oras Zlatna|Ampellum,Schlatten,Zalatna|46.13753|23.20215|RO
686711|Oraş abrud|Oras abrud||46.27409|23.06129|RO
686253|Arad|Arad|Arad,Judetul Arad,Judeţul Arad,Județul Arad|46.33333|21.75|RO
686453|Comuna Almaş|Comuna Almas||46.2848|22.23173|RO
686276|Comuna Apateu|Comuna Apateu||46.62598|21.8253|RO
686225|Comuna Archiş|Comuna Archis||46.48333|22.09663|RO
684772|Comuna Bârsa|Comuna Barsa||46.3841|22.04459|RO
684723|Comuna Bârzava|Comuna Barzava||46.0991|22.06096|RO
685285|Comuna Bata|Comuna Bata||45.99641|22.07805|RO
685127|Comuna Beliu|Comuna Beliu||46.52965|21.99566|RO
684821|Comuna Birchiş|Comuna Birchis||45.96987|22.16845|RO
684480|Comuna Bocsig|Comuna Bocsig||46.41893|21.98424|RO
683767|Comuna Brazii|Comuna Brazii|Comuna Brazii,Comuna Saturau,Comuna Saturău|46.22177|22.32613|RO
683158|Comuna Buteni|Comuna Buteni||46.33119|22.11472|RO
682733|Comuna Cărand|Comuna Carand||46.45551|22.05755|RO
682349|Comuna Cermei|Comuna Cermei||46.55433|21.87084|RO
682010|Comuna Chisindia|Comuna Chisindia||46.26509|22.08572|RO
682008|Oraş Chişineu-Criş|Comuna Chisineu Cris||46.52178|21.51295|RO
8305938|Comuna Conop|Comuna Conop||46.10401|21.88047|RO
680431|Comuna Covăsinţ|Comuna Covasint||46.20571|21.60944|RO
680330|Comuna Craiva|Comuna Craiova||46.59969|21.97908|RO
679900|Oraş Curtici|Comuna Curtici||46.34358|21.31051|RO
679441|Comuna Dezna|Comuna Dezna||46.40997|22.22726|RO
679416|Comuna Dieci|Comuna Dieci||46.32071|22.22373|RO
679076|Comuna Dorobanți|Comuna Dorobanti||46.35022|21.24441|RO
678144|Comuna Fântânele|Comuna Fantanele||46.12441|21.38111|RO
678347|Comuna Felnac|Comuna Felnac||46.12223|21.16704|RO
8306308|Comuna Frumuşeni|Comuna Frumuseni||46.1018|21.45836|RO
677332|Comuna Ghioroc|Comuna Ghioroc||46.15322|21.59651|RO
676790|Comuna Grăniceri|Comuna Graniceri||46.50539|21.33672|RO
676529|Comuna Gurahonţ|Comuna Gurahont||46.2922|22.33506|RO
676357|Comuna Hălmăgel|Comuna Halmagel||46.27662|22.6318|RO
676355|Comuna Hălmagiu|Comuna Halmagiu||46.27536|22.58183|RO
676285|Comuna Hăşmaş|Comuna Hasmas|Comuna Hasmas,Comuna Hasmos,Comuna Hăşmaş,Comuna Hăşmoş|46.52217|22.07003|RO
675693|Comuna Igneşti|Comuna Ignesti||46.43388|22.18227|RO
675603|Oraş Ineu|Comuna Ineu||46.42709|21.84185|RO
675505|Comuna Iratoşu|Comuna Iratosu||46.29414|21.1875|RO
674677|Comuna Livada|Comuna Livada||46.21924|21.38746|RO
674243|Comuna Macea|Comuna Macea||46.40094|21.33187|RO
673074|Comuna Mişca|Comuna Misca||46.62016|21.65353|RO
672886|Comuna Moneasa|Comuna Moneasa||46.44443|22.25323|RO
672545|Oraş Nãdlac|Comuna Nadlac||46.16664|20.74871|RO
671872|Comuna Olari|Comuna Olari||46.38673|21.54522|RO
670793|Oraş Pâncota|Comuna Pancota||46.31205|21.70163|RO
671217|Comuna Păuliş|Comuna Paulis||46.12506|21.60246|RO
671185|Oraş Pecica|Comuna Pecica||46.16675|21.06628|RO
671152|Comuna Peregu Mare|Comuna Peregu Mare||46.23377|20.90612|RO
670956|Comuna Petriş|Comuna Petris||46.0677|22.39523|RO
670800|Comuna Pilu|Comuna Pilu||46.59727|21.34711|RO
670513|Comuna Pleşcuţa|Comuna Plescuta||46.28315|22.43178|RO
668260|Comuna Şagu|Comuna Sagu||46.04254|21.34239|RO
666935|Oraş Sântana|Comuna Santana||46.34622|21.50402|RO
667747|Comuna Săvârşin|Comuna Savarsin|Soborsin|46.02527|22.26514|RO
667512|Oraş Sebiş|Comuna Sebis|Borossebes|46.38771|22.1548|RO
667457|Comuna Secusigiu|Comuna Secusigiu||46.0926|21.00295|RO
667433|Comuna Şeitin|Comuna Seitin||46.10858|20.84464|RO
667422|Comuna Seleuş|Comuna Seleus||46.37886|21.74875|RO
667407|Comuna Semlac|Comuna Semlac|Szemlak|46.1126|20.9321|RO
667387|Comuna Şepreuş|Comuna Sepreus||46.57125|21.73417|RO
667244|Comuna Şicula|Comuna Sicula||46.45723|21.75137|RO
667202|Comuna Şilindia|Comuna Silindia|Selend,Selénd|46.33611|21.93488|RO
667147|Comuna Şimand|Comuna Simand||46.424|21.45145|RO
666921|Comuna Sintea Mare|Comuna Sintea Mare||46.51684|21.608|RO
666820|Comuna Şiria|Comuna Siria||46.2847|21.65419|RO
666794|Comuna Şiştarovăţ|Comuna Sistarovat||45.98649|21.75589|RO
666581|Comuna Socodor|Comuna Socodor||46.5101|21.44128|RO
666564|Comuna Şofronea|Comuna Sofronea||46.26814|21.29059|RO
664955|Comuna Târnova|Comuna Tarnova||46.29054|21.80388|RO
665392|Comuna Tauţ|Comuna Taut||46.26383|21.96747|RO
8305978|Comuna Ususău|Comuna Ususau||46.06781|21.8149|RO
663204|Comuna Vărădia de Mureş|Comuna Varadia de Mures||46.04619|22.15651|RO
662768|Comuna Vârfurile|Comuna Varfurile||46.33689|22.51984|RO
