parentID,childID
798549,865518
798549,686581
798549,685947
798549,684878
798549,683843
798549,683504
798549,683121
798549,683016
798549,682714
798549,681291
798549,680962
798549,680428
798549,679134
798549,673612
798549,672628
798549,671857
798549,667869
798549,665849
798549,665091
798549,662892
798549,662447
798549,677692
798549,677104
798549,676898
798549,676309
798549,675848
798549,667267
798549,686192
798549,664517
798549,675917
798549,686253
798549,684647
798549,684038
798549,683901
798549,672460
798549,669737
798549,679385
798549,668248
798549,673887
798549,665283
798549,663116
798549,675809
686581,684673
686581,684563
686581,682257
686581,8305907
686581,668325
686581,663670
686581,686579
686581,8299639
686581,679811
686581,686441
686581,678446
686581,683596
686581,679049
686581,662965
686581,674382
686581,672472
686581,667719
686581,666442
686581,682362
686581,681367
686581,674270
686581,667264
686581,681465
686581,8299640
686581,675580
686581,8299636
686581,677200
686581,676036
686581,669933
686581,669805
686581,672956
686581,672166
686581,669267
686581,665316
686581,670927
686581,672006
686581,668899
686581,668897
686581,666906
686581,665980
686581,668148
686581,662794
686581,668638
686581,671922
686581,666333
686581,668642
686581,675250
686581,686012
686581,675701
686581,673353
686581,686166
686581,664195
686581,673159
686581,683571
686581,682425
686581,677666
686581,681897
686581,8299637
686581,662160
686581,682279
686581,677233
686581,679874
686581,667072
686581,679993
686581,686711
686581,673505
686581,8299638
686581,674611
686581,665819
686581,667918
686581,668176
686581,680247
686581,685833
686581,680372
686581,674638
686581,666549
686581,681870
686581,685013
686253,667147
686253,682733
686253,667457
686253,666935
686253,662360
686253,662768
686253,666921
686253,673074
686253,662365
686253,675603
686253,678144
686253,682008
686253,682010
686253,674677
686253,686276
686253,670513
686253,670793
686253,662196
686253,670800
686253,670956
686253,668260
686253,671152
686253,671217
686253,662810
686253,667747
686253,663204
686253,8306308
686253,667512
686253,667433
686253,675505
686253,682349
686253,679900
686253,667422
686253,667407
686253,667387
686253,667244
686253,684772
686253,683767
686253,667202
686253,672886
686253,664955
686253,678347
686253,674243
686253,665392
686253,671185
686253,675693
686253,679441
686253,686453
686253,671872
